candidate,state,district,office,year,party,district_i,cand_id,fec_raw_name,cand_ici,bonica_rid,ICPSR,NID,cfscore,seat,lname,fname,cfscore_dyn,dwnom1,dwnom2,dime_district,dime_ico,candidate_icpsr,name_key,party_full,stage,data_source,district_id,candidate_year_stage,on_ballot,general_votes
Thomas Cotton,AR,4.0,house,2018,R,4.0,H2AR04083,"COTTON, THOMAS",C,cand189537,H2AR040832012,N00033363,1.238,federal:house,cotton,thomas,,,,,,"Cotton, Thomas",cotton_thomas,republican,2,general_wayback,AR04,"Cotton, Thomas_2018_2",False,
Nicholas Richard Mr. Stankevich,NY,27.0,house,2018,D,27.0,H8NY27143,"STANKEVICH, NICHOLAS RICHARD MR.",O,cand142601,H8NY271432018,NH8NY27143,-0.731,federal:house,stankevich,nicholas,-0.731,,,NY27,C,"Stankevich, Nicholas Richard Mr.",stankevich_nicholas,democrat,2,general_wayback,NY27,"Stankevich, Nicholas Richard Mr._2018_2",False,
Lisa Battista,CA,10.0,house,2018,D,10.0,H8CA10134,"BATTISTA, LISA",C,,,,,,,,,,,,,"Battista, Lisa",battista_lisa,democrat,2,general_wayback,CA10,"Battista, Lisa_2018_2",False,
Conor Lamb,PA,17.0,house,2018,D,17.0,H8PA18181,"LAMB, CONOR",I,cand142746,H8PA181812020,NH8PA18181,-0.979,federal:house,lamb,conor,-0.998,-0.143,0.212,PA17,O,"Lamb, Conor",lamb_conor,democrat,2,general_wayback,PA17,"Lamb, Conor_2018_2",True,183162
Barry Michaels,NV,3.0,house,2018,D,3.0,H6NV03014,"MICHAELS, BARRY",O,,,,,,,,,,,,,"Michaels, Barry",michaels_barry,democrat,2,general_wayback,NV03,"Michaels, Barry_2018_2",False,
George T Erdel,TN,6.0,house,2018,D,6.0,H0TN06265,"ERDEL, GEORGE T",O,,,,,,,,,,,,,"Erdel, George T",erdel_george,democrat,2,general_wayback,TN06,"Erdel, George T_2018_2",False,
Ivan Arturo Andarza,TX,21.0,house,2018,R,21.0,H8TX21265,"ANDARZA, IVAN ARTURO",O,cand142786,H8TX212652018,NH8TX21265,1.477,federal:house,andarza,ivan,1.477,,,TX21,C,"Andarza, Ivan Arturo",andarza_ivan,republican,2,general_wayback,TX21,"Andarza, Ivan Arturo_2018_2",False,
Charlie Joseph Crist,FL,13.0,house,2018,D,13.0,H6FL13205,"CRIST, CHARLIE JOSEPH",I,cand106118,H6FL132052022,NH6FL13205,0.53,federal:house,crist,charlie,0.14,-0.227,0.079,FL13,I,"Crist, Charlie Joseph",crist_charlie,democrat,2,general_wayback,FL13,"Crist, Charlie Joseph_2018_2",True,182717
Donald W Norcross,NJ,1.0,house,2018,D,1.0,H4NJ01084,"NORCROSS, DONALD W",I,cand186706,H4NJ010842022,N00036154,-0.215,federal:house,norcross,donald,-0.152,-0.422,0.328,NJ01,I,"Norcross, Donald W",norcross_donald,democrat,2,general_wayback,NJ01,"Norcross, Donald W_2018_2",True,169628
Joaquin Castro,TX,20.0,house,2018,D,20.0,H2TX35011,"CASTRO, JOAQUIN",I,cand45198,H2TX350112022,N00033316,-0.701,federal:house,castro,joaquin,-0.804,-0.402,-0.065,TX20,I,"Castro, Joaquin",castro_joaquin,democrat,2,general_wayback,TX20,"Castro, Joaquin_2018_2",True,139038
Larry Rader,LA,3.0,house,2018,D,3.0,H6LA03155,"RADER, LARRY",C,cand125232,H6LA031552018,NH6LA03155,-0.818,federal:house,rader,larry,-1.083,,,LA03,C,"Rader, Larry",rader_larry,democrat,2,general_wayback,LA03,"Rader, Larry_2018_2",True,9692
Mario Diaz-Balart,FL,25.0,house,2018,R,25.0,H2FL25018,"DIAZ-BALART, MARIO",I,cand882,203162022,N00025337,0.604,federal:house,diaz balart,mario,0.578,0.284,0.14,FL25,I,"Diaz-Balart, Mario",diazbalart_mario,republican,2,general_wayback,FL25,"Diaz-Balart, Mario_2018_2",True,128672
Mitchell Cobert,NJ,11.0,house,2018,D,11.0,H8NJ11191,"COBERT, MITCHELL",O,cand142574,H8NJ111912018,NH8NJ11191,-0.574,federal:house,cobert,mitchell,-0.574,,,NJ11,C,"Cobert, Mitchell",cobert_mitchell,democrat,2,general_wayback,NJ11,"Cobert, Mitchell_2018_2",False,
Jason Emert,TN,2.0,house,2018,R,2.0,H8TN02200,"EMERT, JASON",O,cand142756,H8TN022002018,NH8TN02200,1.2,federal:house,emert,jason,1.329,,,TN02,O,"Emert, Jason",emert_jason,republican,2,general_wayback,TN02,"Emert, Jason_2018_2",False,
Gerald Wong,NC,6.0,house,2018,D,6.0,H8NC06095,"WONG, GERALD",C,,,,,,,,,,,,,"Wong, Gerald",wong_gerald,democrat,2,general_wayback,NC06,"Wong, Gerald_2018_2",False,
David H Leroy,ID,1.0,house,2018,R,1.0,H4ID01065,"LEROY, DAVID H",O,cand46581,H4ID010652018,NH4ID01065,0.957,federal:house,leroy,david,0.98,,,ID01,C,"Leroy, David H",leroy_david,republican,2,general_wayback,ID01,"Leroy, David H_2018_2",False,
Rose Izzo,DE,0.0,house,2018,D,0.0,H0DE01025,"IZZO, ROSE",C,cand35823,H0DE010252018,N00031603,0.991,state:lower,izzo,rose,,,,DE01,O,"Izzo, Rose",izzo_rose,democrat,2,general_wayback,DE01,"Izzo, Rose_2018_2",False,
Gwen S Moore,WI,4.0,house,2018,D,4.0,H4WI04183,"MOORE, GWEN S",I,cand960,205372022,N00026914,-0.77,federal:house,moore,gwen,-0.647,-0.526,-0.256,WI04,I,"Moore, Gwen S",moore_gwen,democrat,2,general_wayback,WI04,"Moore, Gwen S_2018_2",True,206487
William R. Wild,MI,13.0,house,2018,D,13.0,H8MI13276,"WILD, WILLIAM R.",O,cand144684,H8MI132762018,NH8MI13276,0.558,federal:house,wild,william,0.866,,,MI13,O,"Wild, William R.",wild_william,democrat,2,general_wayback,MI13,"Wild, William R._2018_2",False,
Douglas David Dr. Wright,VA,6.0,house,2018,R,6.0,H8VA06146,"WRIGHT, DOUGLAS DAVID DR.",O,,,,,,,,,,,,,"Wright, Douglas David Dr.",wright_douglas,republican,2,general_wayback,VA06,"Wright, Douglas David Dr._2018_2",False,
Samuel Allen,FL,11.0,house,2018,D,11.0,H8FL11106,"ALLEN, SAMUEL",C,,,,,,,,,,,,,"Allen, Samuel",allen_samuel,democrat,2,general_wayback,FL11,"Allen, Samuel_2018_2",False,
Suzanne Ms. Bonamici,OR,1.0,house,2018,D,1.0,H2OR01133,"BONAMICI, SUZANNE MS.",I,cand44313,H2OR011332022,N00033474,-0.871,federal:house,bonamici,suzanne,-0.868,-0.396,-0.411,OR01,I,"Bonamici, Suzanne Ms.",bonamici_suzanne,democrat,2,general_wayback,OR01,"Bonamici, Suzanne Ms._2018_2",True,231198
Theodore P. Budd,NC,13.0,house,2018,R,13.0,H6NC13129,"BUDD, THEODORE P.",I,cand137082,H6NC131292020,NH6NC13129,1.351,federal:house,budd,theodore,1.336,0.631,-0.08,NC13,I,"Budd, Theodore P.",budd_theodore,republican,2,general_wayback,NC13,"Budd, Theodore P._2018_2",True,147570
Ralph Lee Dr. Jr. Abraham,LA,5.0,house,2018,R,5.0,H4LA05221,"ABRAHAM, RALPH LEE DR. JR.",I,cand193549,H4LA052212020,N00036633,1.091,federal:house,abraham,ralph,1.048,0.541,0.257,LA05,I,"Abraham, Ralph Lee Dr. Jr.",abraham_ralph,republican,2,general_wayback,LA05,"Abraham, Ralph Lee Dr. Jr._2018_2",True,149018
James D. Scholten,IA,4.0,house,2018,D,4.0,H8IA04106,"SCHOLTEN, JAMES D.",C,cand141577,H8IA041062020,NH8IA04106,-1.081,federal:house,scholten,james,-1.053,,,IA04,C,"Scholten, James D.",scholten_james,democrat,2,general_wayback,IA04,"Scholten, James D._2018_2",True,147246
Gardenia M Henley,NC,12.0,house,2018,D,12.0,H4NC05260,"HENLEY, GARDENIA M",C,,,,,,,,,,,,,"Henley, Gardenia M",henley_gardenia,democrat,2,general_wayback,NC12,"Henley, Gardenia M_2018_2",False,
Damon P Martinez,NM,1.0,house,2018,D,1.0,H8NM01380,"MARTINEZ, DAMON P",O,cand141644,H8NM013802018,NH8NM01380,-0.737,federal:house,martinez,damon,-0.737,,,NM01,O,"Martinez, Damon P",martinez_damon,democrat,2,general_wayback,NM01,"Martinez, Damon P_2018_2",False,
Sheri Lou Mrs. Few,SC,5.0,house,2018,R,5.0,H8SC05091,"FEW, SHERI LOU MRS.",O,cand151865,H8SC050912018,NH8SC05091,1.585,federal:house,few,sheri,1.585,,,SC05,C,"Few, Sheri Lou Mrs.",few_sheri,republican,2,general_wayback,SC05,"Few, Sheri Lou Mrs._2018_2",False,
Gus M Bilirakis,FL,12.0,house,2018,R,12.0,H6FL09070,"BILIRAKIS, GUS M",I,cand1022,207582022,N00027462,0.719,federal:house,bilirakis,gus,0.748,0.419,-0.015,FL12,I,"Bilirakis, Gus M",bilirakis_gus,republican,2,general_wayback,FL12,"Bilirakis, Gus M_2018_2",True,194564
Aaron Anthony,PA,12.0,house,2018,D,12.0,H8PA12077,"ANTHONY, AARON",C,cand140708,H8PA120772018,NH8PA12077,-1.163,federal:house,anthony,aaron,-1.163,,,PA12,C,"Anthony, Aaron",anthony_aaron,democrat,2,general_wayback,PA12,"Anthony, Aaron_2018_2",False,
Patricia Spearman,NV,4.0,house,2018,D,4.0,H8NV04042,"SPEARMAN, PATRICIA",O,cand143671,H8NV040422018,NH8NV04042,-0.846,federal:house,spearman,patricia,-0.846,,,NV04,C,"Spearman, Patricia",spearman_patricia,democrat,2,general_wayback,NV04,"Spearman, Patricia_2018_2",False,
Lauren Horton,NC,7.0,house,2018,D,7.0,H8NC07101,"HORTON, LAUREN",C,cand141163,H8NC071012018,NH8NC07101,-1.157,federal:house,horton,lauren,-1.176,,,NC07,C,"Horton, Lauren",horton_lauren,democrat,2,general_wayback,NC07,"Horton, Lauren_2018_2",True,120838
Stephen P. Tryon,UT,3.0,house,2018,D,3.0,H4UT03211,"TRYON, STEPHEN P.",C,cand186869,H4UT032112016,N00036392,-1.011,federal:house,tryon,stephen,,,,,,"Tryon, Stephen P.",tryon_stephen,democrat,2,general_wayback,UT03,"Tryon, Stephen P._2018_2",False,
Joel Sheltrown,MI,1.0,house,2018,D,1.0,H0MI01120,"SHELTROWN, JOEL ",O,cand37130,MI554925062022,MI55492506,-0.312,state:upper,sheltrown,joel,,,,,,"Sheltrown, Joel",sheltrown_joel,democrat,2,general_wayback,MI01,"Sheltrown, Joel_2018_2",False,
Lynn A. Westmoreland,GA,3.0,house,2018,R,3.0,H4GA08067,"WESTMORELAND, LYNN A.",I,cand929,205062016,N00026163,1.216,federal:house,westmoreland,lynn,,,,,,"Westmoreland, Lynn A.",westmoreland_lynn,republican,2,general_wayback,GA03,"Westmoreland, Lynn A._2018_2",False,
Joshua Penfold,TN,7.0,house,2018,D,7.0,H8TN07092,"PENFOLD, JOSHUA",O,,,,,,,,,,,,,"Penfold, Joshua",penfold_joshua,democrat,2,general_wayback,TN07,"Penfold, Joshua_2018_2",False,
James E. Clyburn,SC,6.0,house,2018,D,6.0,H2SC02042,"CLYBURN, JAMES E.",I,cand1552,393012022,N00002408,-0.437,federal:house,clyburn,james,-0.548,-0.465,0.25,SC06,I,"Clyburn, James E.",clyburn_james,democrat,2,general_wayback,SC06,"Clyburn, James E._2018_2",True,144765
William E Cimbrelo,MA,9.0,house,2018,D,9.0,H6MA09172,"CIMBRELO, WILLIAM E",C,cand138822,H6MA091722018,NH6MA09172,-1.408,federal:house,cimbrelo,william,-1.408,,,MA09,C,"Cimbrelo, William E",cimbrelo_william,democrat,2,general_wayback,MA09,"Cimbrelo, William E_2018_2",False,
David Alan Callahan,GA,13.0,house,2018,R,13.0,H8GA13035,"CALLAHAN, DAVID ALAN",C,cand145209,H8GA130352018,NH8GA13035,1.692,federal:house,callahan,david,1.692,,,GA13,C,"Callahan, David Alan",callahan_david,republican,2,general_wayback,GA13,"Callahan, David Alan_2018_2",True,69760
Fayrouz Saad,MI,11.0,house,2018,D,11.0,H8MI11262,"SAAD, FAYROUZ",O,cand141617,H8MI112622018,NH8MI11262,-0.912,federal:house,saad,fayrouz,-1.237,,,MI11,O,"Saad, Fayrouz",saad_fayrouz,democrat,2,general_wayback,MI11,"Saad, Fayrouz_2018_2",False,
Scott R. Tipton,CO,3.0,house,2018,R,3.0,H6CO03139,"TIPTON, SCOTT R.",I,cand1102,H6CO031392020,N00027509,1.325,federal:house,tipton,scott,1.287,0.451,-0.023,CO03,I,"Tipton, Scott R.",tipton_scott,republican,2,general_wayback,CO03,"Tipton, Scott R._2018_2",True,173205
Mark Anthony Ali,SC,5.0,house,2018,D,5.0,H8SC05240,"ALI, MARK ANTHONY",C,cand144203,H8SC052402020,NH8SC05240,-1.163,federal:house,ali,mark,-1.08,,,SC05,C,"Ali, Mark Anthony",ali_mark,democrat,2,general_wayback,SC05,"Ali, Mark Anthony_2018_2",False,
Christopher B Hon. Cannon,UT,3.0,house,2018,R,3.0,H6UT03042,"CANNON, CHRISTOPHER B HON.",,cand1491,297662014,N00006349,0.888,federal:house,cannon,christopher,,,,,,"Cannon, Christopher B Hon.",cannon_christopher,republican,2,general_wayback,UT03,"Cannon, Christopher B Hon._2018_2",False,
Brianna Westbrook,AZ,8.0,house,2018,D,8.0,H8AZ08059,"WESTBROOK, BRIANNA",O,cand140518,AZ554378902022,AZ55437890,-1.18,state:lower,westbrook,brianna,-1.206,,,AZ08,C,"Westbrook, Brianna",westbrook_brianna,democrat,2,general_wayback,AZ08,"Westbrook, Brianna_2018_2",False,
John David Anderson,OH,10.0,house,2018,R,10.0,H0OH07104,"ANDERSON, JOHN DAVID",C,,,,,,,,,,,,,"Anderson, John David",anderson_john,republican,2,general_wayback,OH10,"Anderson, John David_2018_2",False,
Gilbert Cisneros,CA,39.0,house,2018,D,39.0,H8CA39174,"CISNEROS, GILBERT",O,cand141535,H8CA391742020,NH8CA39174,-0.985,federal:house,cisneros,gilbert,-0.989,-0.376,0.575,CA39,C,"Cisneros, Gilbert",cisneros_gilbert,democrat,2,general_wayback,CA39,"Cisneros, Gilbert_2018_2",True,126002
John Mr. Moolenaar,MI,4.0,house,2018,R,4.0,H4MI04126,"MOOLENAAR, JOHN MR.",I,cand191153,H4MI041262022,N00036275,1.026,federal:house,moolenaar,john,0.967,0.45,0.167,MI04,I,"Moolenaar, John Mr.",moolenaar_john,republican,2,general_wayback,MI04,"Moolenaar, John Mr._2018_2",True,178510
Mohammad Ali Bhuiyan,GA,6.0,house,2018,R,6.0,H0GA06143,"BHUIYAN, MOHAMMAD ALI",C,cand140007,H0GA061432018,NH0GA06143,-0.497,federal:house,bhuiyan,mohammad,-0.497,,,GA06,C,"Bhuiyan, Mohammad Ali",bhuiyan_mohammad,republican,2,general_wayback,GA06,"Bhuiyan, Mohammad Ali_2018_2",False,
Lynne Blankenbeker,NH,2.0,house,2018,R,2.0,H8NH02283,"BLANKENBEKER, LYNNE",C,cand144122,H8NH022832020,NH8NH02283,1.328,federal:house,blankenbeker,lynne,1.388,,,NH02,C,"Blankenbeker, Lynne",blankenbeker_lynne,republican,2,general_wayback,NH02,"Blankenbeker, Lynne_2018_2",False,
Mitchell J Mr. Toland,MD,2.0,house,2018,R,2.0,H8MD02142,"TOLAND, MITCHELL J MR.",C,,,,,,,,,,,,,"Toland, Mitchell J Mr.",toland_mitchell,republican,2,general_wayback,MD02,"Toland, Mitchell J Mr._2018_2",False,
Joshua Braxton Mccall,GA,9.0,house,2018,D,9.0,H8GA09058,"MCCALL, JOSHUA BRAXTON",C,cand141106,H8GA090582018,NH8GA09058,-1.168,federal:house,mccall,joshua,-1.213,,,GA09,C,"Mccall, Joshua Braxton",mccall_joshua,democrat,2,general_wayback,GA09,"Mccall, Joshua Braxton_2018_2",True,57912
Mallory Hagan,AL,3.0,house,2018,D,3.0,H8AL03054,"HAGAN, MALLORY",C,cand143953,AL554207052022,AL55420705,-1.027,state:lower,hagan,mallory,-1.12,,,AL03,C,"Hagan, Mallory",hagan_mallory,democrat,2,general_wayback,AL03,"Hagan, Mallory_2018_2",True,83996
Debbie Lesko,AZ,8.0,house,2018,R,8.0,H8AZ08158,"LESKO, DEBBIE",I,cand143404,H8AZ081582022,NH8AZ08158,1.355,federal:house,lesko,debbie,1.351,0.615,-0.079,AZ08,C,"Lesko, Debbie",lesko_debbie,republican,2,general_wayback,AZ08,"Lesko, Debbie_2018_2",True,168835
Tim Donnelly,CA,8.0,house,2018,R,8.0,H6CA08207,"DONNELLY, TIM",C,cand27392,H6CA082072016,NH6CA08207,1.256,federal:house,donnelly,tim,,,,,,"Donnelly, Tim",donnelly_tim,republican,2,general_wayback,CA08,"Donnelly, Tim_2018_2",True,68370
Angie Chirino,FL,27.0,house,2018,R,27.0,H8FL27177,"CHIRINO, ANGIE",O,cand143660,H8FL271772018,NH8FL27177,1.309,federal:house,chirino,anjeanette,1.309,,,FL27,O,"Chirino, Angie",chirino_angie,republican,2,general_wayback,FL27,"Chirino, Angie_2018_2",False,
Matt Kokkonen,CA,24.0,house,2018,R,24.0,H6CA24329,"KOKKONEN, MATT",O,cand53617,H6CA243292016,NH6CA24329,1.581,federal:house,kokkonen,matt,,,,,,"Kokkonen, Matt",kokkonen_matt,republican,2,general_wayback,CA24,"Kokkonen, Matt_2018_2",False,
Brenden Dilley,AZ,8.0,house,2018,R,8.0,H8AZ08182,"DILLEY, BRENDEN",O,cand143644,H8AZ081822018,NH8AZ08182,1.909,federal:house,dilley,brenden,1.909,,,AZ08,C,"Dilley, Brenden",dilley_brenden,republican,2,general_wayback,AZ08,"Dilley, Brenden_2018_2",False,
Paul Douglas Spain,FL,22.0,house,2018,R,22.0,H4FL22110,"SPAIN, PAUL DOUGLAS",C,cand193535,H4FL221102018,N00036530,1.347,federal:house,spain,paul,1.491,,,FL22,O,"Spain, Paul Douglas",spain_paul,republican,2,general_wayback,FL22,"Spain, Paul Douglas_2018_2",False,
Debra Kerner,TX,7.0,house,2018,D,7.0,H8TX07108,"KERNER, DEBRA",C,cand140738,TX481189062020,TX48118906,-0.907,state:education,kerner,debra,-0.936,,,TX07,C,"Kerner, Debra",kerner_debra,democrat,2,general_wayback,TX07,"Kerner, Debra_2018_2",False,
Louis B. Mr. Jr. Gohmert,TX,1.0,house,2018,R,1.0,H4TX04039,"GOHMERT, LOUIS B. MR. JR.",I,cand950,205272022,N00026148,1.443,federal:house,gohmert,louis,1.527,0.644,-0.406,TX01,I,"Gohmert, Louis B. Mr. Jr.",gohmert_louis,republican,2,general_wayback,TX01,"Gohmert, Louis B. Mr. Jr._2018_2",True,168165
Robert Ryerse,AR,3.0,house,2018,R,3.0,H8AR03066,"RYERSE, ROBERT",C,cand141050,H8AR030662018,NH8AR03066,-1.555,federal:house,ryerse,robert,-1.555,,,AR03,C,"Ryerse, Robert",ryerse_robert,republican,2,general_wayback,AR03,"Ryerse, Robert_2018_2",False,
John L Ratcliffe,TX,4.0,house,2018,R,4.0,H4TX04153,"RATCLIFFE, JOHN L",I,cand143578,H4TX041532020,N00035972,1.23,federal:house,ratcliffe,john,1.188,0.693,0.113,TX04,I,"Ratcliffe, John L",ratcliffe_john,republican,2,general_wayback,TX04,"Ratcliffe, John L_2018_2",True,188667
Lena Rose Epstein,MI,11.0,house,2018,R,11.0,H8MI11320,"EPSTEIN, LENA ROSE",O,cand141318,H8MI113202018,NH8MI11320,1.093,federal:house,epstein,lena,1.093,,,MI11,C,"Epstein, Lena Rose",epstein_lena,republican,2,general_wayback,MI11,"Epstein, Lena Rose_2018_2",True,158463
Kenneth R Buck,CO,4.0,house,2018,R,4.0,H4CO04090,"BUCK, KENNETH R",I,cand186507,H4CO040902022,N00030829,1.308,federal:house,buck,kenneth,1.107,0.657,-0.43,CO04,I,"Buck, Kenneth R",buck_kenneth,republican,2,general_wayback,CO04,"Buck, Kenneth R_2018_2",True,224038
Enrique Mr. Garcia,TX,16.0,house,2018,D,16.0,H8TX16091,"GARCIA, ENRIQUE MR.",O,cand141707,H8TX160912018,NH8TX16091,-2.029,federal:house,garcia,enrique,-2.029,,,TX16,O,"Garcia, Enrique Mr.",garcia_enrique,democrat,2,general_wayback,TX16,"Garcia, Enrique Mr._2018_2",False,
Tod Curtis,IN,9.0,house,2018,D,9.0,H8IN09099,"CURTIS, TOD",C,cand141134,H8IN090992018,NH8IN09099,-1.042,federal:house,curtis,tod,-1.042,,,IN09,C,"Curtis, Tod",curtis_tod,democrat,2,general_wayback,IN09,"Curtis, Tod_2018_2",False,
Kenneth S Calvert,CA,42.0,house,2018,R,42.0,H2CA37023,"CALVERT, KENNETH S",I,cand1262,293232022,N00007099,0.859,federal:house,calvert,ken,0.84,0.341,0.262,CA42,I,"Calvert, Kenneth S",calvert_kenneth,republican,2,general_wayback,CA42,"Calvert, Kenneth S_2018_2",True,131040
Frank Perez,FL,27.0,house,2018,D,27.0,H6FL27015,"PEREZ, FRANK",C,cand122085,H6FL270152016,NH6FL27015,-0.822,federal:house,perez,frank,,,,,,"Perez, Frank",perez_frank,democrat,2,general_wayback,FL27,"Perez, Frank_2018_2",False,
James P. Mr. Mcgovern,MA,2.0,house,2018,D,2.0,H4MA03022,"MCGOVERN, JAMES P. MR.",I,cand1455,297292022,N00000179,-0.776,federal:house,mcgovern,james,-0.884,-0.539,-0.323,MA02,I,"Mcgovern, James P. Mr.",mcgovern_james,democrat,2,general_wayback,MA02,"Mcgovern, James P. Mr._2018_2",True,191332
