candidate,state,district,office,year,party,district_i,cand_id,fec_raw_name,cand_ici,bonica_rid,ICPSR,NID,cfscore,seat,lname,fname,cfscore_dyn,dwnom1,dwnom2,dime_district,dime_ico,candidate_icpsr,name_key,party_full,stage,data_source,district_id,candidate_year_stage,on_ballot,general_votes
Angel Luis Cadena Jr,CT,3.0,house,2018,R,3.0,H6CT03145,"CADENA JR, ANGEL LUIS",C,cand138158,H6CT031452016,NH6CT03145,1.278,federal:house,cadena,angel,,,,,,"Cadena Jr, Angel Luis",cadenajr_angel,republican,2,general_wayback,CT03,"Cadena Jr, Angel Luis_2018_2",True,95667
Hector Mr. Araujo,AZ,9.0,house,2018,D,9.0,H8AZ09065,"ARAUJO, HECTOR MR.",O,cand145466,H8AZ090652018,NH8AZ09065,-0.662,federal:house,araujo,hector,-0.662,,,AZ09,C,"Araujo, Hector Mr.",araujo_hector,democrat,2,general_wayback,AZ09,"Araujo, Hector Mr._2018_2",False,
Dana Rohrabacher,CA,48.0,house,2018,R,48.0,H8CA42061,"ROHRABACHER, DANA",I,cand793,156212018,N00007151,1.006,federal:house,rohrabacher,dana,1.069,0.626,-0.417,CA48,I,"Rohrabacher, Dana",rohrabacher_dana,republican,2,general_wayback,CA48,"Rohrabacher, Dana_2018_2",True,136899
Lauren A Underwood,IL,14.0,house,2018,D,14.0,H8IL14174,"UNDERWOOD, LAUREN A",C,cand141589,H8IL141742022,NH8IL14174,-1.078,federal:house,underwood,lauren,-1.078,-0.573,0.45,IL14,C,"Underwood, Lauren A",underwood_lauren,democrat,2,general_wayback,IL14,"Underwood, Lauren A_2018_2",True,156035
Jon Kaiman,NY,3.0,house,2018,D,3.0,H6NY03254,"KAIMAN, JON",C,cand137582,H6NY032542018,NH6NY03254,-0.34,federal:house,kaiman,jon,-0.326,,,NY03,C,"Kaiman, Jon",kaiman_jon,democrat,2,general_wayback,NY03,"Kaiman, Jon_2018_2",False,
Garret Graves,LA,6.0,house,2018,R,6.0,H4LA06153,"GRAVES, GARRET",I,cand186613,H4LA061532022,N00036135,0.848,federal:house,graves,garret,0.815,0.43,0.029,LA06,I,"Graves, Garret",graves_garret,republican,2,general_wayback,LA06,"Graves, Garret_2018_2",True,186553
Scott Mcvarish,CA,25.0,house,2018,D,25.0,H8CA25116,"MCVARISH, SCOTT",C,cand142402,H8CA251162018,NH8CA25116,-1.238,federal:house,mcvarish,scott,-1.238,,,CA25,C,"Mcvarish, Scott",mcvarish_scott,democrat,2,general_wayback,CA25,"Mcvarish, Scott_2018_2",False,
Chaka Mr. Fattah,PA,2.0,house,2018,D,2.0,H2PA02055,"FATTAH, CHAKA MR.",I,cand1396,295592016,N00001746,-0.652,federal:house,fattah,chaka,,,,,,"Fattah, Chaka Mr.",fattah_chaka,democrat,2,general_wayback,PA02,"Fattah, Chaka Mr._2018_2",False,
William Llop,GA,11.0,house,2018,R,11.0,H2GA11198,"LLOP, WILLIAM",O,cand41696,H2GA111982018,N00034773,0.915,federal:house,llop,william,1.006,,,GA11,C,"Llop, William",llop_william,republican,2,general_wayback,GA11,"Llop, William_2018_2",False,
Jim Lawrence,NH,2.0,house,2018,R,2.0,H6NH02238,"LAWRENCE, JIM",C,cand138556,H6NH022382016,NH6NH02238,1.029,federal:house,lawrence,jim,,,,,,"Lawrence, Jim",lawrence_jim,republican,2,general_wayback,NH02,"Lawrence, Jim_2018_2",False,
Gregory Gibson Mr. Williams,FL,15.0,house,2018,D,15.0,H8FL15172,"WILLIAMS, GREGORY GIBSON MR.",O,cand140582,H8FL151722018,NH8FL15172,-0.655,federal:house,williams,gregory,-0.655,,,FL15,C,"Williams, Gregory Gibson Mr.",williams_gregory,democrat,2,general_wayback,FL15,"Williams, Gregory Gibson Mr._2018_2",False,
Michael Ohevzion,FL,27.0,house,2018,R,27.0,H8FL27201,"OHEVZION, MICHAEL",O,cand144625,H8FL272012018,NH8FL27201,2.222,federal:house,ohevzion,michael,2.222,,,FL27,C,"Ohevzion, Michael",ohevzion_michael,republican,2,general_wayback,FL27,"Ohevzion, Michael_2018_2",False,
Thomas P Casey,NY,27.0,house,2018,D,27.0,H2NY27088,"CASEY, THOMAS P",O,,,,,,,,,,,,,"Casey, Thomas P",casey_thomas,democrat,2,general_wayback,NY27,"Casey, Thomas P_2018_2",False,
Jason Crow,CO,6.0,house,2018,D,6.0,H8CO06229,"CROW, JASON",C,cand140573,H8CO062292022,NH8CO06229,-1.025,federal:house,crow,jason,-1.029,-0.298,0.186,CO06,C,"Crow, Jason",crow_jason,democrat,2,general_wayback,CO06,"Crow, Jason_2018_2",True,187639
Carl Demaio,CA,52.0,house,2018,R,52.0,H4CA52051,"DEMAIO, CARL",C,cand160415,H4CA520512016,N00035392,1.12,federal:house,demaio,carl,,,,,,"Demaio, Carl",demaio_carl,republican,2,general_wayback,CA52,"Demaio, Carl_2018_2",False,
Dayna Ms. Steele,TX,36.0,house,2018,D,36.0,H8TX36024,"STEELE, DAYNA MS.",C,cand140768,H8TX360242020,NH8TX36024,-1.009,federal:house,steele,dayna,-1.072,,,TX36,C,"Steele, Dayna Ms.",steele_dayna,democrat,2,general_wayback,TX36,"Steele, Dayna Ms._2018_2",True,60908
Lloyd Doggett,TX,35.0,house,2018,D,35.0,H4TX10028,"DOGGETT, LLOYD",I,cand1408,295712022,N00006023,-0.813,federal:house,doggett,lloyd,-0.956,-0.402,-0.318,TX35,I,"Doggett, Lloyd",doggett_lloyd,democrat,2,general_wayback,TX35,"Doggett, Lloyd_2018_2",True,138278
Carolyn Bourdeaux,GA,7.0,house,2018,D,7.0,H8GA07201,"BOURDEAUX, CAROLYN",C,cand142460,H8GA072012022,NH8GA07201,-0.955,federal:house,bourdeaux,carolyn,-0.905,-0.303,0.463,GA07,C,"Bourdeaux, Carolyn",bourdeaux_carolyn,democrat,2,general_wayback,GA07,"Bourdeaux, Carolyn_2018_2",True,140011
Randy Bryce,WI,1.0,house,2018,D,1.0,H8WI01123,"BRYCE, RANDY",O,cand141274,H8WI011232018,NH8WI01123,-1.123,federal:house,bryce,randy,-1.132,,,WI01,O,"Bryce, Randy",bryce_randy,democrat,2,general_wayback,WI01,"Bryce, Randy_2018_2",True,137508
Hans Keirstead,CA,48.0,house,2018,D,48.0,H8CA48076,"KEIRSTEAD, HANS",C,cand141072,H8CA480762020,NH8CA48076,-0.61,federal:house,keirstead,hans,-0.615,,,CA48,C,"Keirstead, Hans",keirstead_hans,democrat,2,general_wayback,CA48,"Keirstead, Hans_2018_2",False,
Seth Moulton,MA,6.0,house,2018,D,6.0,H4MA06090,"MOULTON, SETH",I,cand160674,H4MA060902022,N00035431,-0.854,federal:house,moulton,seth,-0.76,-0.279,-0.045,MA06,I,"Moulton, Seth",moulton_seth,democrat,2,general_wayback,MA06,"Moulton, Seth_2018_2",True,217703
Ronald D. Desantis,FL,6.0,house,2018,R,6.0,H2FL00292,"DESANTIS, RONALD D.",I,cand41326,H2FL002922018,N00034746,1.315,federal:house,desantis,ronald,1.359,0.663,-0.105,FL06,I,"Desantis, Ronald D.",desantis_ronald,republican,2,general_wayback,FL06,"Desantis, Ronald D._2018_2",False,
Denise Gitsham,CA,52.0,house,2018,R,52.0,H6CA52130,"GITSHAM, DENISE",C,cand134673,H6CA521302016,NH6CA52130,1.018,federal:house,gitsham,denise,,,,,,"Gitsham, Denise",gitsham_denise,republican,2,general_wayback,CA52,"Gitsham, Denise_2018_2",False,
Jim Gerlach,PA,6.0,house,2018,R,6.0,H2PA06114,"GERLACH, JIM",C,cand911,203452016,N00025025,0.841,federal:house,gerlach,jim,,,,,,"Gerlach, Jim",gerlach_jim,republican,2,general_wayback,PA06,"Gerlach, Jim_2018_2",False,
Jenifer Sarver,TX,21.0,house,2018,R,21.0,H8TX21315,"SARVER, JENIFER",O,cand143311,H8TX213152018,NH8TX21315,0.543,federal:house,sarver,jenifer,0.543,,,TX21,C,"Sarver, Jenifer",sarver_jenifer,republican,2,general_wayback,TX21,"Sarver, Jenifer_2018_2",False,
Patrick F Nelson,NY,21.0,house,2018,D,21.0,H2NY21115,"NELSON, PATRICK F",C,cand140499,H2NY211152018,NH2NY21115,-1.175,federal:house,nelson,patrick,-1.267,,,NY21,C,"Nelson, Patrick F",nelson_patrick,democrat,2,general_wayback,NY21,"Nelson, Patrick F_2018_2",False,
Rick Shepherd,NV,2.0,house,2018,D,2.0,H6NV02255,"SHEPHERD, RICK",C,cand137578,H6NV022552018,NH6NV02255,-1.743,federal:house,shepherd,rick,-1.598,,,NV02,C,"Shepherd, Rick",shepherd_rick,democrat,2,general_wayback,NV02,"Shepherd, Rick_2018_2",False,
Sharen Swartz Neuhardt,OH,10.0,house,2018,D,10.0,H8OH07099,"NEUHARDT, SHAREN SWARTZ",C,cand56010,H8OH070992016,N00029721,-0.674,federal:house,neuhardt,sharen,,,,,,"Neuhardt, Sharen Swartz",neuhardt_sharen,democrat,2,general_wayback,OH10,"Neuhardt, Sharen Swartz_2018_2",False,
Douglas Michael Basler,WA,9.0,house,2018,R,9.0,H4WA09061,"BASLER, DOUGLAS MICHAEL",C,cand193646,H4WA090612022,N00036660,1.526,federal:house,basler,douglas,1.603,,,WA09,C,"Basler, Douglas Michael",basler_douglas,republican,2,general_wayback,WA09,"Basler, Douglas Michael_2018_2",False,
Robert M. Jr. Neeld,FL,19.0,house,2018,D,19.0,H4FL14091,"NEELD, ROBERT M. JR.",C,cand46394,H4FL140912018,NH4FL14091,-1.562,federal:house,neeld j,robert,-1.771,,,FL19,O,"Neeld, Robert M. Jr.",neeld_robert,democrat,2,general_wayback,FL19,"Neeld, Robert M. Jr._2018_2",False,
Ron Bassilian,CA,37.0,house,2018,R,37.0,H8CA37293,"BASSILIAN, RON",C,cand151799,H8CA372932020,NH8CA37293,-0.448,federal:house,bassilian,ron,-1.336,,,CA37,C,"Bassilian, Ron",bassilian_ron,republican,2,general_wayback,CA37,"Bassilian, Ron_2018_2",True,25823
Neill Dr. Mohammad,IL,16.0,house,2018,D,16.0,H8IL16096,"MOHAMMAD, NEILL DR.",C,cand140619,H8IL160962018,NH8IL16096,-1.104,federal:house,mohammad,neill,-1.104,,,IL16,C,"Mohammad, Neill Dr.",mohammad_neill,democrat,2,general_wayback,IL16,"Mohammad, Neill Dr._2018_2",False,
Keith Joseph Grawert,GA,6.0,house,2018,R,6.0,H8GA06294,"GRAWERT, KEITH JOSEPH",O,cand140025,H8GA062942018,NH8GA06294,0.803,federal:house,grawert,keith,0.803,,,GA06,C,"Grawert, Keith Joseph",grawert_keith,republican,2,general_wayback,GA06,"Grawert, Keith Joseph_2018_2",False,
Steve Mr Scalise,LA,1.0,house,2018,R,1.0,H0LA01087,"SCALISE, STEVE MR",I,cand1023,207592022,N00009660,1.245,federal:house,scalise,steve,1.11,0.559,0.148,LA01,I,"Scalise, Steve Mr",scalise_steve,republican,2,general_wayback,LA01,"Scalise, Steve Mr_2018_2",True,192555
Brian Evans,HI,2.0,house,2018,R,2.0,H8HI02141,"EVANS, BRIAN",C,,,,,,,,,,,,,"Evans, Brian",evans_brian,republican,2,general_wayback,HI02,"Evans, Brian_2018_2",True,44850
Rick Neal,OH,15.0,house,2018,D,15.0,H8OH15134,"NEAL, RICK",C,cand141674,H8OH151342018,NH8OH15134,-0.916,federal:house,neal,rick,-1.014,,,OH15,C,"Neal, Rick",neal_rick,democrat,2,general_wayback,OH15,"Neal, Rick_2018_2",True,116112
Margaret Ruth Engebretson,WI,7.0,house,2018,D,7.0,H8WI07096,"ENGEBRETSON, MARGARET RUTH",C,cand144257,H8WI070962020,NH8WI07096,-1.231,federal:house,engebretson,margaret,-1.243,,,WI07,C,"Engebretson, Margaret Ruth",engebretson_margaret,democrat,2,general_wayback,WI07,"Engebretson, Margaret Ruth_2018_2",True,124307
Thomas M Horne,WA,5.0,house,2018,R,5.0,H6WA05148,"HORNE, THOMAS M",C,,,,,,,,,,,,,"Horne, Thomas M",horne_thomas,republican,2,general_wayback,WA05,"Horne, Thomas M_2018_2",False,
Elijah E Cummings,MD,7.0,house,2018,D,7.0,H6MD07160,"CUMMINGS, ELIJAH E",I,cand1424,295872020,N00001971,-0.649,federal:house,cummings,elijah,-0.741,-0.438,-0.148,MD07,I,"Cummings, Elijah E",cummings_elijah,democrat,2,general_wayback,MD07,"Cummings, Elijah E_2018_2",True,202345
Mark Kaniela Ing,HI,1.0,house,2018,D,1.0,H8HI01192,"ING, MARK KANIELA",O,cand142463,H8HI011922018,NH8HI01192,-1.153,federal:house,ing,mark,-1.153,,,HI01,C,"Ing, Mark Kaniela",ing_mark,democrat,2,general_wayback,HI01,"Ing, Mark Kaniela_2018_2",False,
Ian Andrew Todd,MN,6.0,house,2018,D,6.0,H8MN06096,"TODD, IAN ANDREW",C,cand141154,H8MN060962020,NH8MN06096,-0.856,federal:house,todd,ian,-1.03,,,MN06,C,"Todd, Ian Andrew",todd_ian,democrat,2,general_wayback,MN06,"Todd, Ian Andrew_2018_2",False,
Rebecca Michelle Sherrill,NJ,11.0,house,2018,D,11.0,H8NJ11142,"SHERRILL, REBECCA MICHELLE",O,cand140669,H8NJ111422022,NH8NJ11142,-0.923,federal:house,sherrill,mikie,-0.935,-0.221,0.261,NJ11,C,"Sherrill, Rebecca Michelle",sherrill_rebecca,democrat,2,general_wayback,NJ11,"Sherrill, Rebecca Michelle_2018_2",True,183684
Sara Dady,IL,16.0,house,2018,D,16.0,H8IL16120,"DADY, SARA",C,cand141925,H8IL161202018,NH8IL16120,-1.125,federal:house,dady,sara,-1.224,,,IL16,C,"Dady, Sara",dady_sara,democrat,2,general_wayback,IL16,"Dady, Sara_2018_2",True,104569
Norma Torres,CA,35.0,house,2018,D,35.0,H4CA35031,"TORRES, NORMA",I,cand186488,H4CA350312022,N00036107,-0.527,federal:house,torres,norma,-0.428,-0.363,0.043,CA35,I,"Torres, Norma",torres_norma,democrat,2,general_wayback,CA35,"Torres, Norma_2018_2",True,103420
Alfred Jr Lawson,FL,5.0,house,2018,D,5.0,H0FL02086,"LAWSON, ALFRED JR",I,cand35844,H0FL020862022,N00030642,-0.245,federal:house,lawson,alfred,-0.084,-0.26,0.076,FL05,I,"Lawson, Alfred Jr",lawson_alfred,democrat,2,general_wayback,FL05,"Lawson, Alfred Jr_2018_2",True,180527
Michael A. Hepburn,FL,27.0,house,2018,D,27.0,H8FL27011,"HEPBURN, MICHAEL A.",O,cand140586,H8FL270112020,NH8FL27011,-1.242,federal:house,hepburn,michael,-1.228,,,FL27,C,"Hepburn, Michael A.",hepburn_michael,democrat,2,general_wayback,FL27,"Hepburn, Michael A._2018_2",False,
Earl Frederick Jr Hilliard,AL,7.0,house,2018,D,7.0,H0AL07094,"HILLIARD, EARL FREDERICK JR",O,cand34870,H0AL070942010,N00030714,-0.471,federal:house,hilliard,earl,,,,,,"Hilliard, Earl Frederick Jr",hilliard_earl,democrat,2,general_wayback,AL07,"Hilliard, Earl Frederick Jr_2018_2",False,
Michelle Laws,NC,4.0,house,2018,D,4.0,H8NC04116,"LAWS, MICHELLE",C,cand144699,H8NC041162018,NH8NC04116,-1.103,federal:house,laws,michelle,-1.103,,,NC04,C,"Laws, Michelle",laws_michelle,democrat,2,general_wayback,NC04,"Laws, Michelle_2018_2",False,
Daniel Keller Wil Hamilton,SC,4.0,house,2018,R,4.0,H8SC04276,"HAMILTON, DANIEL KELLER WIL",O,cand144789,H8SC042762018,NH8SC04276,1.234,federal:house,hamilton,daniel,1.234,,,SC04,O,"Hamilton, Daniel Keller Wil",hamilton_daniel,republican,2,general_wayback,SC04,"Hamilton, Daniel Keller Wil_2018_2",False,
Sander M Mr Levin,MI,9.0,house,2018,D,9.0,H2MI17023,"LEVIN, SANDER M MR",I,cand619,150332022,N00003950,-0.71,federal:house,levin,sander,,-0.379,-0.091,MI09,I,"Levin, Sander M Mr",levin_sander,democrat,2,general_wayback,MI09,"Levin, Sander M Mr_2018_2",False,
Paul Iii Nehlen,WI,1.0,house,2018,R,1.0,H6WI01226,"NEHLEN, PAUL III",O,cand137138,H6WI012262018,NH6WI01226,1.507,federal:house,nehlen,paul,1.503,,,WI01,C,"Nehlen, Paul Iii",nehlen_paul,republican,2,general_wayback,WI01,"Nehlen, Paul Iii_2018_2",False,
Thomas Heckroth,IA,1.0,house,2018,D,1.0,H8IA01128,"HECKROTH, THOMAS",C,cand141575,H8IA011282018,NH8IA01128,-0.984,federal:house,heckroth,thomas,-0.984,,,IA01,C,"Heckroth, Thomas",heckroth_thomas,democrat,2,general_wayback,IA01,"Heckroth, Thomas_2018_2",False,
Andrew Learned,FL,15.0,house,2018,D,15.0,H8FL15180,"LEARNED, ANDREW",O,cand141092,FL440445272022,FL44044527,-0.939,state:lower,learned,andrew,-1.045,,,FL15,C,"Learned, Andrew",learned_andrew,democrat,2,general_wayback,FL15,"Learned, Andrew_2018_2",False,
Christine Carol Brown,WA,4.0,house,2018,D,4.0,H8WA04089,"BROWN, CHRISTINE CAROL",C,cand141268,H8WA040892018,NH8WA04089,-1.248,federal:house,brown,christine,-1.288,,,WA04,C,"Brown, Christine Carol",brown_christine,democrat,2,general_wayback,WA04,"Brown, Christine Carol_2018_2",True,83785
Jacky Rosen,NV,3.0,house,2018,D,3.0,H6NV03139,"ROSEN, JACKY",I,cand137579,H6NV031392018,NH6NV03139,-1.026,federal:house,rosen,jacky,-1.027,-0.288,0.324,NV03,I,"Rosen, Jacky",rosen_jacky,democrat,2,general_wayback,NV03,"Rosen, Jacky_2018_2",False,
Roger Allison,NC,1.0,house,2018,R,1.0,H8NC01104,"ALLISON, ROGER",C,cand144697,H8NC011042018,NH8NC01104,1.797,federal:house,allison,roger,1.797,,,NC01,C,"Allison, Roger",allison_roger,republican,2,general_wayback,NC01,"Allison, Roger_2018_2",True,82218
David William Weidman,PA,7.0,house,2018,D,7.0,H8PA15211,"WEIDMAN, DAVID WILLIAM",O,cand142739,H8PA152112018,NH8PA15211,-1.014,federal:house,weidman,david,-1.014,,,PA07,O,"Weidman, David William",weidman_david,democrat,2,general_wayback,PA07,"Weidman, David William_2018_2",False,
John Dennis Love,NV,3.0,house,2018,D,3.0,H8NV03192,"LOVE, JOHN DENNIS",O,cand141942,H8NV031922018,NH8NV03192,-1.045,federal:house,love,john,-1.045,,,NV03,C,"Love, John Dennis",love_john,democrat,2,general_wayback,NV03,"Love, John Dennis_2018_2",False,
Nan Hayworth,NY,18.0,house,2018,R,18.0,H0NY19139,"HAYWORTH, NAN",C,cand1145,H0NY191392014,N00031124,0.761,federal:house,hayworth,,,,,,,"Hayworth, Nan",hayworth_nan,republican,2,general_wayback,NY18,"Hayworth, Nan_2018_2",False,
Gareth Thomas Rhodes,NY,19.0,house,2018,D,19.0,H8NY19199,"RHODES, GARETH THOMAS",C,cand140682,H8NY191992020,NH8NY19199,-0.853,federal:house,rhodes,gareth,-0.993,,,NY19,C,"Rhodes, Gareth Thomas",rhodes_gareth,democrat,2,general_wayback,NY19,"Rhodes, Gareth Thomas_2018_2",False,
Shanelle M Jackson,MI,13.0,house,2018,D,13.0,H2MI13154,"JACKSON, SHANELLE M",C,cand42822,H2MI131542012,N00034406,-0.396,federal:house,jackson,shanelle,,,,,,"Jackson, Shanelle M",jackson_shanelle,democrat,2,general_wayback,MI13,"Jackson, Shanelle M_2018_2",False,
Roger Dean Rd Huffstetler,VA,5.0,house,2018,D,5.0,H8VA05114,"HUFFSTETLER, ROGER DEAN RD",O,cand140777,H8VA051142020,NH8VA05114,-0.859,federal:house,huffstetler,roger,-0.857,,,VA05,C,"Huffstetler, Roger Dean Rd",huffstetler_roger,democrat,2,general_wayback,VA05,"Huffstetler, Roger Dean Rd_2018_2",False,
Randy Hultgren,IL,14.0,house,2018,R,14.0,H0IL14080,"HULTGREN, RANDY",I,cand1120,H0IL140802018,N00031104,0.989,federal:house,hultgren,randy,1.209,0.49,-0.034,IL14,I,"Hultgren, Randy",hultgren_randy,republican,2,general_wayback,IL14,"Hultgren, Randy_2018_2",True,141164
Steven Alexzander Horsford,NV,4.0,house,2018,D,4.0,H2NV04011,"HORSFORD, STEVEN ALEXZANDER",O,cand43733,H2NV040112022,N00033638,-0.711,federal:house,horsford,steven,-0.795,-0.348,0.137,NV04,O,"Horsford, Steven Alexzander",horsford_steven,democrat,2,general_wayback,NV04,"Horsford, Steven Alexzander_2018_2",True,121962
Chris Van Hollen,MD,8.0,house,2018,D,8.0,H2MD08126,"VAN HOLLEN, CHRIS",,cand896,203302016,N00013820,-0.92,federal:house,vanhollen,chris,,,,,,"Van Hollen, Chris",vanhollen_chris,democrat,2,general_wayback,MD08,"Van Hollen, Chris_2018_2",False,
Talia Fuentes,AZ,9.0,house,2018,D,9.0,H6AZ05133,"FUENTES, TALIA",O,cand138513,H6AZ051332018,NH6AZ05133,-1.149,federal:house,fuentes,talia,-1.201,,,AZ09,O,"Fuentes, Talia",fuentes_talia,democrat,2,general_wayback,AZ09,"Fuentes, Talia_2018_2",False,
John Garamendi,CA,3.0,house,2018,D,3.0,H0CA10149,"GARAMENDI, JOHN",I,cand1085,209582022,N00030856,-0.652,federal:house,garamendi,john,-0.595,-0.309,-0.096,CA03,I,"Garamendi, John",garamendi_john,democrat,2,general_wayback,CA03,"Garamendi, John_2018_2",True,134875
Pearl Kim,PA,5.0,house,2018,R,5.0,H8PA05295,"KIM, PEARL",C,cand145251,H8PA052952018,NH8PA05295,0.669,federal:house,kim,pearl,0.834,,,PA05,C,"Kim, Pearl",kim_pearl,republican,2,general_wayback,PA05,"Kim, Pearl_2018_2",True,106075
Benjamin Richard Garves,SC,1.0,house,2018,D,1.0,H6SC01169,"GARVES, BENJAMIN RICHARD",C,,,,,,,,,,,,,"Garves, Benjamin Richard",garves_benjamin,democrat,2,general_wayback,SC01,"Garves, Benjamin Richard_2018_2",False,
Evan H Jenkins,WV,3.0,house,2018,R,3.0,H4WV03070,"JENKINS, EVAN H",I,cand118157,H4WV030702018,N00035531,0.949,federal:house,jenkins,evan,1.121,0.315,0.308,WV03,I,"Jenkins, Evan H",jenkins_evan,republican,2,general_wayback,WV03,"Jenkins, Evan H_2018_2",False,
Alex Sink,FL,13.0,house,2018,D,13.0,H4FL13093,"SINK, ALEX",O,cand168608,H4FL130932014,NH4FL13093,-0.82,federal:house,sink,alex,,,,,,"Sink, Alex",sink_alex,democrat,2,general_wayback,FL13,"Sink, Alex_2018_2",False,
Xavier Becerra,CA,34.0,house,2018,D,34.0,H2CA30143,"BECERRA, XAVIER",I,cand1255,293162018,N00009774,-0.614,state:attorneyg,becerra,xavier,,-0.512,-0.283,,,"Becerra, Xavier",becerra_xavier,democrat,2,general_wayback,CA34,"Becerra, Xavier_2018_2",False,
Steven Mitchell Schiffman,NV,3.0,house,2018,D,3.0,H6NV03154,"SCHIFFMAN, STEVEN MITCHELL",O,,,,,,,,,,,,,"Schiffman, Steven Mitchell",schiffman_steven,democrat,2,general_wayback,NV03,"Schiffman, Steven Mitchell_2018_2",False,
Patrick Davis,NM,1.0,house,2018,D,1.0,H8NM01406,"DAVIS, PATRICK",O,cand141646,H8NM014062018,NH8NM01406,-0.958,federal:house,davis,patrick,-0.958,,,NM01,O,"Davis, Patrick",davis_patrick,democrat,2,general_wayback,NM01,"Davis, Patrick_2018_2",False,
Chip Roy,TX,21.0,house,2018,R,21.0,H8TX21307,"ROY, CHIP",O,cand143308,H8TX213072022,NH8TX21307,1.464,federal:house,roy,chip,1.416,0.8,-0.6,TX21,C,"Roy, Chip",roy_chip,republican,2,general_wayback,TX21,"Roy, Chip_2018_2",True,177654
Glenn Frederick Ivey,MD,4.0,house,2018,D,4.0,H2MD04232,"IVEY, GLENN FREDERICK",O,cand42541,H2MD042322018,N00033749,-0.436,federal:house,ivey,glenn,,,,,,"Ivey, Glenn Frederick",ivey_glenn,democrat,2,general_wayback,MD04,"Ivey, Glenn Frederick_2018_2",False,
Reginald W Marselus,KS,3.0,house,2018,D,3.0,H4KS03170,"MARSELUS, REGINALD W",C,cand143312,H4KS031702016,N00035236,-0.976,federal:house,marselus,reginald,,,,,,"Marselus, Reginald W",marselus_reginald,democrat,2,general_wayback,KS03,"Marselus, Reginald W_2018_2",False,
John W Iii Sawyer,FL,17.0,house,2018,R,17.0,H2FL14160,"SAWYER, JOHN W III",O,,,,,,,,,,,,,"Sawyer, John W Iii",sawyer_john,republican,2,general_wayback,FL17,"Sawyer, John W Iii_2018_2",False,
John Sterling Howe,MN,2.0,house,2018,R,2.0,H6MN02164,"HOWE, JOHN STERLING",O,cand130911,H6MN021642016,NH6MN02164,1.219,federal:house,howe,john,,,,,,"Howe, John Sterling",howe_john,republican,2,general_wayback,MN02,"Howe, John Sterling_2018_2",False,
Daniel Helmer,VA,10.0,house,2018,D,10.0,H8VA10080,"HELMER, DANIEL",C,cand140780,H8VA100802018,NH8VA10080,-0.911,state:lower,helmer,dan,-0.891,,,VA10,C,"Helmer, Daniel",helmer_daniel,democrat,2,general_wayback,VA10,"Helmer, Daniel_2018_2",False,
Robert Wayne Derlet,CA,4.0,house,2018,D,4.0,H6CA04156,"DERLET, ROBERT WAYNE",C,cand130897,H6CA041562016,NH6CA04156,-1.137,federal:house,derlet,robert,,,,,,"Derlet, Robert Wayne",derlet_robert,democrat,2,general_wayback,CA04,"Derlet, Robert Wayne_2018_2",False,
Liz Watson,IN,9.0,house,2018,D,9.0,H8IN09107,"WATSON, LIZ",C,cand141599,H8IN091072018,NH8IN09107,-1.025,federal:house,watson,liz,-1.117,,,IN09,C,"Watson, Liz",watson_liz,democrat,2,general_wayback,IN09,"Watson, Liz_2018_2",True,118090
Wenona Rae Benally Baldenegro,AZ,1.0,house,2018,D,1.0,H2AZ01271,"BALDENEGRO, WENONA RAE BENALLY",C,cand40235,H2AZ012712016,N00033235,-1.06,federal:house,baldenegro,wenona,,,,,,"Baldenegro, Wenona Rae Benally",baldenegro_wenona,democrat,2,general_wayback,AZ01,"Baldenegro, Wenona Rae Benally_2018_2",False,
Jeremy Wynes,IL,10.0,house,2018,R,10.0,H8IL10123,"WYNES, JEREMY",C,cand140612,H8IL101232018,NH8IL10123,0.856,federal:house,wynes,jeremy,0.856,,,IL10,C,"Wynes, Jeremy",wynes_jeremy,republican,2,general_wayback,IL10,"Wynes, Jeremy_2018_2",False,
Carlos Mr. Ramirez-Rosa,IL,4.0,house,2018,D,4.0,H8IL04142,"RAMIREZ-ROSA, CARLOS MR.",O,cand143159,H8IL041422018,NH8IL04142,-1.289,federal:house,ramirez rosa,carlos,-1.289,,,IL04,C,"Ramirez-Rosa, Carlos Mr.",ramirezrosa_carlos,democrat,2,general_wayback,IL04,"Ramirez-Rosa, Carlos Mr._2018_2",False,
Derickson K Lawrence,NY,16.0,house,2018,D,16.0,H6NY16132,"LAWRENCE, DERICKSON K",C,cand137593,H6NY161322018,NH6NY16132,-0.262,federal:house,lawrence,derickson,-0.283,,,NY16,C,"Lawrence, Derickson K",lawrence_derickson,democrat,2,general_wayback,NY16,"Lawrence, Derickson K_2018_2",False,
Alvis Mcaffrey,OK,5.0,house,2018,D,5.0,H6OK05251,"MCAFFREY, ALVIS",C,cand134849,H6OK052512016,NH6OK05251,-0.829,federal:house,mcaffrey,alvis,,,,,,"Mcaffrey, Alvis",mcaffrey_alvis,democrat,2,general_wayback,OK05,"Mcaffrey, Alvis_2018_2",False,
Amanda Douglas,OK,1.0,house,2018,D,1.0,H8OK01181,"DOUGLAS, AMANDA",O,cand145248,H8OK011812018,NH8OK01181,-1.151,federal:house,douglas,amanda,-1.151,,,OK01,C,"Douglas, Amanda",douglas_amanda,democrat,2,general_wayback,OK01,"Douglas, Amanda_2018_2",False,
