candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words
William F Tilghman,MD,1.0,house,2018,D,2,20180819131921,2,13,homepage;other,https://www.tilghmanforcongress.com,40130,260
Diedra Michelle Greenaway,CA,25.0,house,2018,D,2,20180202034307,3,6,biography;endorsements;homepage;other,https://www.electdiedragreenaway.com,13086,1787
Gabriel Ferrer,FL,27.0,house,2018,R,2,20181119085806,1,1,homepage,https://electgabeferrer.com,13231,1898
Brian Fitzpatrick,PA,1.0,house,2018,R,2,20180625092523,106,11,action;biography;endorsements;homepage;issues;news;other,https://brianfitzpatrick.com,50606,6599
Richard Ray Snuffer,WV,3.0,house,2018,R,2,20180513083211,1,1,homepage,https://www.ricksnuffer.com,1793,228
Elaine Dr. Phd Dimasi,NY,1.0,house,2018,D,2,20180102202223,1,1,homepage,https://www.elainedimasi.com,1547,194
Linda Weber,NJ,7.0,house,2018,D,2,20181124211326,11,3,biography;homepage;issues,https://www.lindaweberforcongress.com,22858,3415
Christopher Brian Monday,TN,6.0,house,2018,R,2,20180123110253,2,8,biography;homepage;issues;other,https://christopherbmonday.com,56867,4258
Thamar Johnson,MI,13.0,house,2018,D,2,20180409175953,16,12,homepage;other,https://thamarjohnson.com,16934,1997
Joyce Beatty,OH,3.0,house,2018,D,2,20180208085951,3,1,homepage,http://www.beattyforcongress.com/,949,100
Thomas Mcclintock,CA,4.0,house,2018,R,2,20180506234912,12,15,homepage;other,https://www.tommcclintock.com,46311,5907
Chad Connelly,SC,5.0,house,2018,R,2,20180118104230,1,1,homepage,https://www.chadconnellyforcongress.com,93,14
Kristen Rosen Gonzalez,FL,27.0,house,2018,D,2,20180711032947,34,10,action;biography;homepage;other,http://www.rosengonzalez.com,26929,3962
Aftab Pureval,OH,1.0,house,2018,D,2,20181105174327,98,10,action;biography;homepage;issues;other,https://aftabforohio.com,30953,4313
Carolyn B. Maloney,NY,12.0,house,2018,D,2,20181005200755,20,12,endorsements;homepage;other,http://www.carolynmaloney.com/,46403,6232
David Owen Mckeon,NV,3.0,house,2018,R,2,20180513101506,13,1,homepage,https://mckeonfornevada.com,2093,315
Susan Mrs. Brooks,IN,5.0,house,2018,R,2,20180105065703,45,1,homepage,https://susanbrooksforcongress.com,1282,139
Ruben E. Hinojosa,TX,15.0,house,2018,D,2,20180419082944,5,5,homepage;other,http://www.rubenhinojosa.com,17060,1788
Roy Rich,OH,7.0,house,2018,D,2,20180320012316,1,2,homepage;other,https://rich4congress.com,5167,440
Shawn Nelson,CA,39.0,house,2018,R,2,20180514085405,5,3,endorsements;homepage;news,https://www.shawnnelsonforcongress.com,10664,1533
Juana Matias,MA,3.0,house,2018,D,2,20181119071629,5,7,endorsements;homepage;issues;news;other,https://www.juanamatias.com,15790,2172
Tanya Boone,NY,21.0,house,2018,D,2,20180116081432,1,1,homepage,https://www.tanyabooneforcongress.com,4021,604
Ken Russell,FL,27.0,house,2018,D,2,20180203161659,1,9,action;homepage;issues;news;other,https://www.kenrussellforcongress.com,17368,2204
Andie Saizan,LA,6.0,house,2018,D,2,20181115121500,5,2,homepage;other,https://www.voteandie.com,11212,1774
Robert Bentley,CA,36.0,house,2018,R,2,20180309120344,14,8,homepage;other,https://robertbentleyforcongress.com,5937,755
Timothy Bishop,NY,1.0,house,2018,D,2,20181115170635,3,13,homepage;news;other,http://www.bishopforcongress.com,88478,13677
Emily Martz,NY,21.0,house,2018,D,2,20180710015021,2,3,homepage;other,http://www.martzforcongress.com,3992,563
Nicholas Grant Mr. Morse,CO,2.0,house,2018,R,2,20181117135811,2,5,homepage;other,http://www.nicmorseforcongress.com/,8420,68
Robert Michael Dr Davidson,MI,2.0,house,2018,D,2,20181017144956,4,9,action;biography;endorsements;homepage;issues;news;other,https://www.robdavidsonforcongress.com,20395,2594
Susan Moran Palmer,OH,16.0,house,2018,D,2,20181106132728,23,24,action;biography;endorsements;homepage;issues;news;other,https://www.susanpalmerforcongress.com/,45411,5330
Christopher Jolly Hale,TN,4.0,house,2018,D,2,20180325025409,1,1,homepage,https://christopherhale.com,1366,166
Mike Bishop,MI,8.0,house,2018,R,2,20180102083813,102,25,action;biography;endorsements;homepage;issues;news;other,https://www.electmikebishop.com,58978,6415
Karen A Dvm Mccormick,CO,4.0,house,2018,D,2,20181023200158,34,9,biography;endorsements;homepage;news;other,http://mccormickforcongress.org,59949,8645
John R. Lewis,GA,5.0,house,2018,D,2,20181108183019,11,1,homepage,https://johnlewisforcongress.com,424,47
Thomas Mr. Wakely,TX,21.0,house,2018,D,2,20180308140059,4,1,homepage,https://www.texansfortom.com,8425,1215
Valdez Val Demings,FL,10.0,house,2018,D,2,20180307205433,15,1,homepage,https://www.valdemings.com,4869,689
Bruce L Poliquin,ME,2.0,house,2018,R,2,20180415194022,10,11,action;homepage;issues;news;other,https://www.poliquinforcongress.com,43313,5531
Loretta Sanchez,CA,46.0,house,2018,D,2,20180131064131,3,1,homepage,http://www.loretta.org,1332,143
Lucille Roybal-Allard,CA,40.0,house,2018,D,2,20181229031114,12,1,homepage,https://lucilleforcongress.com,2195,274
Richard W Allen,GA,12.0,house,2018,R,2,20181118215003,3,1,homepage,https://www.rickwallenforcongress.com,5670,738
Thomas Lee Prigg,PA,14.0,house,2018,D,2,20180419194152,6,26,action;biography;homepage;issues;news;other,https://www.tompriggforcongress.com,1326882,41701
Elissa Slotkin,MI,8.0,house,2018,D,2,20180309003101,5,9,action;biography;endorsements;homepage;issues;news;other,https://www.elissaforcongress.com,19607,2433
Kelly Armstrong,ND,0.0,house,2018,R,2,20181116045049,14,7,action;biography;homepage;news;other,https://armstrongnd.com,22444,3292
Geoffrey Aisin Petzel,IL,6.0,house,2018,D,2,20180307111709,1,8,homepage;other,https://petzelforcongress.com,40016,293
Tom Graves,GA,14.0,house,2018,R,2,20180927212500,72,8,biography;homepage;issues;news,http://tomgraves.house.gov,40960,4948
Muhammad Tahir Javed,TX,29.0,house,2018,D,2,20180309003715,4,2,homepage;news,https://www.tahirjaved.com,2156,232
Herman Jr. West,GA,2.0,house,2018,R,2,20181023201431,7,1,homepage,https://hermanwest4congress.com,101,14
Dean Heller,NV,2.0,house,2018,R,2,20181003022115,76,11,action;biography;homepage;news;other,https://www.deanheller.com,52803,7915
Daniel Webster,FL,11.0,house,2018,R,2,20181217163714,17,1,homepage,https://www.electwebster.com,10527,1528
Henry Scott Wallace,PA,1.0,house,2018,D,2,20181102172516,77,25,biography;endorsements;homepage;issues;news;other,https://www.scottwallacepa.com,90405,12369
Susan A Davis,CA,53.0,house,2018,D,2,20180419193434,19,5,homepage;other,https://www.susandavisforcongress.com,13664,2086
John J Cullum,CA,39.0,house,2018,R,2,20181120094721,7,1,homepage,https://www.vote4cullum.com,1510,197
Theresa Wright,PA,7.0,house,2018,D,2,20180320155346,24,4,homepage;other,https://www.votetheresamwright.com,13649,1938
Gary Peters,MI,14.0,house,2018,D,2,20181017155147,1,1,homepage,http://www.petersformichigan.com,2747,419
Sean Patrick Maloney,NY,18.0,house,2018,D,2,20180224033320,19,15,homepage;other,http://www.seanmaloney.com,100554,14772
Danny L Burton,IN,5.0,house,2018,R,2,20181206055049,3,1,homepage,https://www.indianadan.com,23,3
Randolph Blake Farenthold,TX,27.0,house,2018,R,2,20180307071925,24,11,homepage,http://blake.com,21430,3083
Patrick L. Mr Meehan,PA,7.0,house,2018,R,2,20180102092901,10,1,homepage,https://meehan.house.gov/,4816,513
Tony Puca,MD,6.0,house,2018,D,2,20180731114631,3,9,homepage;news;other,https://tonypucaforcongress.com,30463,4415
Tyler Nathan Tannahill,KS,2.0,house,2018,R,2,20180217211504,4,8,homepage;other,https://tylertannahill.com,13202,1841
Pamela M Iovino,PA,18.0,house,2018,D,2,20180308011400,3,9,action;biography;homepage;issues;other,https://pamforpa.com,15579,2220
Everett Clarke Iv Tucker,AR,2.0,house,2018,D,2,20181005193415,25,34,action;endorsements;homepage;news;other,https://www.clarketucker.com,77638,10317
Eric Wilson,OH,1.0,house,2018,D,2,20180707175148,204,9,homepage;news,https://wilson.house.gov/,27251,3705
Mark Takano,CA,41.0,house,2018,D,2,20181108132920,10,6,action;homepage;other,http://www.marktakano.com,12446,1714
Bernard Arthur Fontaine,GA,9.0,house,2018,R,2,20180816130833,2,7,homepage;other,https://www.fontaine4congress.com,21318,2965
Wesley Seaton Bolin,KY,1.0,house,2018,D,2,20181124115534,4,1,homepage,https://www.bolinforkentucky.com,512,57
John Moser,MD,7.0,house,2018,D,2,20180102132927,3,3,homepage;issues,https://www.johnmoserforcongress.com/,10429,1345
Mauro Everett Mr. Garza,TX,21.0,house,2018,R,2,20180219203137,3,12,action;homepage;issues;news;other,https://www.maurogarzaforcongress.com,12453,1367
Lynn Jenkins,KS,2.0,house,2018,R,2,20181229110920,8,1,homepage,https://www.lynnjenkins.com,224,19
Sue Zwahlen,CA,10.0,house,2018,D,2,20180318075655,5,1,homepage,https://www.suezwahlen.com,3001,392
John Nehring Mr. Upchurch,FL,6.0,house,2018,D,2,20180713201338,2,6,homepage;other,https://voteupchurch.com,22836,3004
Jared Thomas,IN,4.0,house,2018,R,2,20181119074705,5,1,homepage,https://jaredguythomas.com,2761,342
Filemon Vela,TX,34.0,house,2018,D,2,20181024041632,14,1,homepage,http://filemonvelaforcongress.com/,101,12
Jeffrey Cullen,CA,52.0,house,2018,R,2,20180821074021,7,2,homepage;other,https://jeffcullenforcongress.com,5129,631
George E Mr. Holding,NC,2.0,house,2018,R,2,20180514060052,16,10,action;biography;homepage;news;other,https://www.georgeholdingforcongress.com,12443,1637
Evangeline Martinez Nunez,AZ,7.0,house,2018,R,2,20181119153104,1,1,homepage,https://evenunezforuscongress.com,1822,14
Sean Steward Ricker,TX,8.0,house,2018,R,2,20180827104914,2,1,homepage,https://www.rickerfortexas.com,12,2
Virginia Madueno,CA,10.0,house,2018,D,2,20181204061029,4,9,biography;homepage;news;other,http://www.virginiaforcongress.com,11853,1333
Brenda Jones,MI,13.0,house,2018,D,2,20180828211049,22,14,action;endorsements;homepage;issues;other,https://www.brendajonesforcongress.com,24022,3115
Dennis Dinge,NM,1.0,house,2018,D,2,20180328095129,1,2,homepage;other,http://www.dingeforcongress.org,5237,444
Christine E Craig,PA,7.0,house,2018,D,2,20180820040055,1,1,homepage,https://www.christinecraigcampaign.com,1492,183
